,musical_title,rate,review_title,review_text,review_date
0,맨오브라만차,4,좋음 뮤지컬의 정석,좋았습니다 재미 내용전개,2021.08.15
1,맨오브라만차,5,재밌었습니다,굿굿ㅎㅎ,2021.08.12
2,맨오브라만차,5,좋았습니다,좋았습니다,2021.07.26
3,맨오브라만차,5,조승우 하나만으로...,정말...정말 최고에요,2021.05.08
4,맨오브라만차,5,굿,산초야아아아,2021.05.04
5,맨오브라만차,4,"맨오브라만차,,최구얌","류정한 윤공주 최구,,??",2021.04.20
6,맨오브라만차,5,산초야아~~,조승우가 세르반테스인지 세르반테스가 조승우인지..,2021.04.20
7,맨오브라만차,5,역시 홍광호!,명불허전!!!꼭 보세여~~,2021.04.19
8,맨오브라만차,5,역시는 역시,홍광호 정원영 조합 괜춘함 중간에 ㄱㄱ씬이 많이 덜어져서 좋았음,2021.04.07
9,맨오브라만차,5,보고나서 여운이 계속 남는 공연,홍광호 배우님을 보고 싶어서 예매했던 극입니다!우선 홍배우님은 노래며 연기며 완벽 그 자체셨고산초역의 정원영 배우님도 정말 재밌었어요 ㅋㅋ극자체는 무대전환이 많거나 화려하지가 않아서약간 심심?하다고 느낄수도 있는데 배우님들이다 커버해주셨네요 ㅎㅎ무엇보다 맨오브라만차는 보고나서 여운이 많이남는 공연인거 같아요. 꿈에 대해서 자꾸 생각해보게 되더라구요.. 호불호는 갈릴 수 있을거 같은데한번쯤은 꼭 보셨으면 합니다!,2021.04.05
10,맨오브라만차,5,최고??,역시 갓승우^^ 처음부터 끝까지 전율이~~~,2021.03.30
11,맨오브라만차,5,산초야아~,너무 재미있었습니다 ㅜㅜ 끝나고도 여운이 오래 가는 극...,2021.03.29
12,맨오브라만차,5,조승우회차 최고였어요,제가 가려던 건 아니고 동생 티켓팅 도와주다가 둘다 같은 열 잡아서 이것도 운명인가 싶어서 보러갔다가 조승우 배우님 연기에 감동받고 왔어요. 조승우 배우님뿐만 아니라 김지현 배우님 정원영배우님 다른 배우님들 다 너무너무 연기도 잘하시구 노래도 잘하셔서 흠뻑 빠져서 보고 왔습니다. 호불호 갈린다는 얘기듣고 걱정하면서 갔는데 저는 극호였어요 기회가 된다면 또 보러가고 싶을 만큼 좋았습니다. 요즘도 한번씩 생각나서 넘버 찾아듣고 있어요. 진짜 최고였습니다.,2021.03.26
13,맨오브라만차,5,너무 좋았습니다:),노래도 좋고 연기도 좋았습니다!,2021.03.25
14,맨오브라만차,5,최고였숩니다,"조동키,, 숮돈자,, 최고",2021.03.24
